"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Town of Carbonate,2803717,Civil,Garfield,CO,394439N,1072021W,10843,Carbonate,,18-APR-2019
Town of Carbondale,2413166,Civil,Garfield,CO,392342N,1071253W,6197,Carbondale,,11-MAR-2008
Town of Castle Rock,2413179,Civil,Douglas,CO,392235N,1045113W,6296,Castle Rock North,,11-MAR-2008
Town of Cedaredge,2413184,Civil,Delta,CO,385339N,1075532W,6135,Cedaredge,,11-MAR-2008
Town of Center,2413186,Civil,Saguache,CO,374504N,1060638W,7644,Center North,,11-MAR-2008
Town of Cheraw,2413193,Civil,Otero,CO,380627N,1033040W,4134,Cheraw,,11-MAR-2008
Town of Cheyenne Wells,2413197,Civil,Cheyenne,CO,384909N,1022107W,4278,Cheyenne Wells,,11-MAR-2008
Town of Coal Creek,2413219,Civil,Fremont,CO,382144N,1050832W,5348,Rockvale,,11-MAR-2008
Town of Cokedale,2413221,Civil,Las Animas,CO,370839N,1043718W,6332,Trinidad West,,11-MAR-2008
Town of Collbran,2413226,Civil,Mesa,CO,391424N,1075749W,5974,Collbran,,11-MAR-2008
Town of Columbine Valley,2413232,Civil,Arapahoe,CO,393558N,1050207W,5358,Littleton,,11-MAR-2008
Town of Crawford,2412382,Civil,Delta,CO,384218N,1073635W,6594,Crawford,,11-MAR-2008
Town of Crested Butte,2412385,Civil,Gunnison,CO,385203N,1065838W,8875,Crested Butte,,11-MAR-2008
Town of Crestone,2412387,Civil,Saguache,CO,375940N,1054146W,7966,Crestone,,11-MAR-2008
Town of Crook,2412389,Civil,Logan,CO,405132N,1024805W,3707,Crook,,11-MAR-2008
Town of Crowley,2412394,Civil,Crowley,CO,381137N,1035135W,4350,Ordway,,11-MAR-2008
Town of De Beque,2412412,Civil,Mesa,CO,391710N,1081224W,4967,De Beque,,11-MAR-2008
Town of Deer Trail,2412415,Civil,Arapahoe,CO,393657N,1040237W,5190,Deer Trail,,11-MAR-2008
Town of Del Norte,2412416,Civil,Rio Grande,CO,374042N,1062114W,7884,Del Norte,,11-MAR-2008
Town of Dillon,2412431,Civil,Summit,CO,393717N,1060222W,9022,Frisco,,11-MAR-2008
Town of Dinosaur,2412432,Civil,Moffat,CO,401425N,1090029W,5873,Dinosaur,,11-MAR-2008
Town of Dolores,2412439,Civil,Montezuma,CO,372827N,1083000W,6942,Dolores East,,11-MAR-2008
Town of Dove Creek,2412446,Civil,Dolores,CO,374601N,1085426W,6837,Dove Creek,,11-MAR-2008
Town of Eads,2412454,Civil,Kiowa,CO,382853N,1024647W,4216,Eads,,11-MAR-2008
Town of Eagle,2412456,Civil,Eagle,CO,393729N,1064758W,6972,The Seven Hermits,,11-MAR-2008
